episode_i,targets_Qvalue,time-step,episode_reward,train/loss,policy_loss,value_loss,entropy
0,,0,,,,,1.1
0,,1,,,,,2.74
0,,2,,,,,0.77
0,,3,,,,,1
0,,4,,,,,1.39
0,,5,,,,,4.15
0,,6,,,,,0.19
0,,7,,,,,0.11
0,,8,,,,,2.02
0,,9,,,,,2.96
0,,10,,,,,3.27
0,,11,,,,,4.69
0,,12,,,,,0.88
0,,13,,,,,1.82
0,,14,,,,,2.53
0,,15,,,,,2.39
0,,16,,,,,1.84
0,,17,,,,,1.61
0,,18,,,,,2.19
0,,19,,,,,0.44
0,,20,,,,,1.36
0,,21,,,,,0.1
0,,22,,,,,2.79
0,,23,,,,,3.51
0,,24,,,,,0.71
0,,25,,,,,0.43
0,,26,,,,,4.44
0,,27,,,,,4.04
0,,28,,,,,1.3
0,,29,,,,,0.92
0,,30,,,,,4.9
0,,31,,,,,4.74
0,,32,,,,,1.8
0,,33,,,,,3.2
0,,34,,,,,3.4
0,,35,,,,,1.57
0,,36,,,,,4.81
0,,37,,,,,2.06
0,,38,,,,,0.4
0,,39,,,,,0.69
0,,40,,,,,1.44
0,,41,,,,,0.43
0,,42,,,,,2.32
0,,43,-4.77,,7.37,1.55,2.28
1,,0,,,,,2.31
1,,1,,,,,0.87
1,,2,,,,,2.08
1,,3,,,,,3.56
1,,4,,,,,1.22
1,,5,,,,,3.29
1,,6,,,,,4.15
1,,7,,,,,3.24
1,,8,,,,,0.71
1,,9,,,,,3.5
1,,10,,,,,2.47
1,,11,,,,,3.45
1,,12,,,,,1.99
1,,13,,,,,1.51
1,,14,,,,,0.2
1,,15,,,,,2.95
1,,16,,,,,0.98
1,,17,,,,,1.11
1,,18,,,,,2
1,,19,,,,,4.89
1,,20,,,,,4.29
1,,21,,,,,1.9
1,,22,,,,,4.66
1,,23,,,,,3.78
1,,24,,,,,0.15
1,,25,,,,,1.39
1,,26,,,,,3.07
1,,27,,,,,2.59
1,,28,,,,,3.15
1,,29,,,,,1.14
1,,30,,,,,3.94
1,,31,,,,,1.16
1,,32,,,,,4.6
1,,33,,,,,1.01
1,,34,,,,,3.38
1,,35,-1.47,,8.33,4.8,4.95
2,,0,,,,,1.14
2,,1,,,,,2.55
2,,2,,,,,2.91
2,,3,,,,,1.64
2,,4,,,,,1.28
2,,5,,,,,3.05
2,,6,,,,,3.03
2,,7,,,,,0.91
2,,8,,,,,4.54
2,,9,,,,,4.95
2,,10,,,,,2.97
2,,11,,,,,3.76
2,,12,,,,,2.21
2,,13,,,,,4.91
2,,14,,,,,1.31
2,,15,,,,,3.32
2,,16,,,,,0.82
2,,17,,,,,2.02
2,,18,,,,,0.36
2,,19,,,,,0.07
2,,20,,,,,2.71
2,,21,,,,,3.11
2,,22,,,,,1.78
2,,23,,,,,0.92
2,,24,,,,,4.61
2,,25,,,,,4.7
2,,26,,,,,4.9
2,,27,,,,,2.05
2,,28,,,,,0.75
2,,29,,,,,3.14
2,,30,,,,,0.08
2,,31,,,,,0.25
2,,32,,,,,3.94
2,,33,,,,,4.35
2,,34,,,,,3.81
2,,35,,,,,0.71
2,,36,,,,,1.7
2,,37,7.16,,7.67,5.05,1.53
3,,0,,,,,1.44
3,,1,,,,,2.56
3,,2,,,,,1.66
3,,3,,,,,1.07
3,,4,,,,,1.62
3,,5,,,,,0.67
3,,6,,,,,3.95
3,,7,,,,,4.04
3,,8,,,,,0.95
3,,9,,,,,4.13
3,,10,,,,,0.59
3,,11,,,,,2.24
3,,12,,,,,0.14
3,,13,,,,,1.41
3,,14,,,,,2.46
3,,15,,,,,1.72
3,,16,,,,,2.77
3,,17,,,,,1.62
3,,18,,,,,1.67
3,,19,,,,,2.26
3,,20,,,,,4.49
3,,21,,,,,2.55
3,,22,,,,,3.87
3,,23,,,,,0.23
3,,24,,,,,1.29
3,,25,,,,,3.21
3,,26,,,,,3.72
3,,27,,,,,4.63
3,,28,,,,,2.41
3,,29,,,,,0.02
3,,30,,,,,4.33
3,,31,,,,,4.53
3,,32,,,,,3.84
3,,33,,,,,1.59
3,,34,,,,,0.26
3,,35,-3.09,,6.5,7.67,1.61
4,,0,,,,,4.6
4,,1,,,,,2.84
4,,2,,,,,4.15
4,,3,,,,,2.4
4,,4,,,,,4.07
4,,5,,,,,0.69
4,,6,,,,,1.65
4,,7,,,,,1.82
4,,8,,,,,0.04
