episode_i,targets_Qvalue,time-step,episode_reward,train/loss,policy_loss,value_loss,entropy
0,22.14,0,,,,,
0,23,1,,,,,
0,21.5,2,,,,,
0,23.11,3,,,,,
0,22,4,,,,,
0,19.88,5,,,,,
0,22.8,6,,,,,
0,23.03,7,,,,,
0,22.65,8,,,,,
0,22.52,9,,,,,
0,21.59,10,,,,,
0,23.22,11,,,,,
0,21.91,12,,,,,
0,21.56,13,,,,,
0,22.28,14,,,,,
0,21.98,15,,,,,
0,22.85,16,,,,,
0,22.87,17,,,,,
0,22.99,18,,,,,
0,22.26,19,,,,,
0,20.54,20,,,,,
0,22.44,21,,,,,
0,22.29,22,,,,,
0,18.74,23,,,,,
0,22.79,24,,,,,
0,23.2,25,,,,,
0,23.19,26,,,,,
0,22.6,27,,,,,
0,21.8,28,,,,,
0,22.83,29,,,,,
0,22.53,30,,,,,
0,22.91,31,,,,,
0,19.43,32,,,,,
0,21.45,33,,,,,
0,22.58,34,,,,,
0,22.45,35,,,,,
0,22.34,36,,,,,
0,22.64,37,,,,,
0,17.37,38,,,,,
0,22.8,39,,,,,
0,22.87,40,,,,,
0,20.9,41,,,,,
0,21.1,42,,,,,
0,,43,-4.77,-0.04,,,
1,21.9,0,,,,,
1,22.67,1,,,,,
1,21.81,2,,,,,
1,20.92,3,,,,,
1,21.04,4,,,,,
1,20.8,5,,,,,
1,18.73,6,,,,,
1,22.41,7,,,,,
1,22.76,8,,,,,
1,22.5,9,,,,,
1,22.91,10,,,,,
1,21.16,11,,,,,
1,23.03,12,,,,,
1,22.71,13,,,,,
1,22.89,14,,,,,
1,22.84,15,,,,,
1,23.02,16,,,,,
1,21.75,17,,,,,
1,22.57,18,,,,,
1,22.35,19,,,,,
1,22.78,20,,,,,
1,22.53,21,,,,,
1,23.11,22,,,,,
1,20.64,23,,,,,
1,23.26,24,,,,,
1,22.83,25,,,,,
1,22.33,26,,,,,
1,22.13,27,,,,,
1,22.08,28,,,,,
1,21.94,29,,,,,
1,19.15,30,,,,,
1,22.69,31,,,,,
1,23.28,32,,,,,
1,21.37,33,,,,,
1,21.92,34,,,,,
1,,35,-1.47,-0.05,,,
2,21.07,0,,,,,
2,21.08,1,,,,,
2,22.51,2,,,,,
2,21.08,3,,,,,
2,19.51,4,,,,,
2,21.4,5,,,,,
2,22,6,,,,,
2,22.45,7,,,,,
2,22.6,8,,,,,
2,22.87,9,,,,,
2,23.15,10,,,,,
2,22.44,11,,,,,
2,22.9,12,,,,,
2,22.45,13,,,,,
2,22.77,14,,,,,
2,22.85,15,,,,,
2,21.81,16,,,,,
2,22.75,17,,,,,
2,21.51,18,,,,,
2,22.69,19,,,,,
2,22.42,20,,,,,
2,21.51,21,,,,,
2,21.96,22,,,,,
2,20.94,23,,,,,
2,22.9,24,,,,,
2,22.95,25,,,,,
2,22.08,26,,,,,
2,22.8,27,,,,,
2,21.77,28,,,,,
2,22.45,29,,,,,
2,22.58,30,,,,,
2,22.33,31,,,,,
2,22.93,32,,,,,
2,23.28,33,,,,,
2,22.8,34,,,,,
2,23.28,35,,,,,
2,22.24,36,,,,,
2,,37,7.16,0.08,,,
3,22.61,0,,,,,
3,21.37,1,,,,,
3,23.14,2,,,,,
3,22.6,3,,,,,
3,22.14,4,,,,,
3,23.15,5,,,,,
3,22.04,6,,,,,
3,22.07,7,,,,,
3,23.08,8,,,,,
3,23.03,9,,,,,
